iter	Passed	Remaining
429	1560	2068
430	1563	2064
431	1566	2059
432	1569	2055
433	1572	2050
434	1575	2046
435	1578	2041
436	1581	2037
437	1584	2032
438	1586	2027
439	1590	2023
440	1592	2019
441	1595	2014
442	1598	2009
443	1601	2005
444	1604	2000
445	1607	1996
446	1610	1991
447	1613	1987
448	1616	1983
449	1619	1978
450	1622	1974
451	1625	1970
452	1628	1965
453	1631	1961
454	1633	1956
455	1636	1952
456	1639	1948
457	1642	1944
458	1645	1939
459	1648	1934
460	1650	1930
461	1653	1925
462	1657	1921
463	1659	1917
464	1662	1913
465	1665	1909
466	1668	1904
467	1671	1900
468	1674	1896
469	1677	1891
470	1680	1887
471	1683	1883
472	1686	1879
473	1689	1875
474	1692	1871
475	1695	1866
476	1698	1862
477	1702	1858
478	1705	1854
479	1707	1850
480	1710	1845
481	1713	1841
482	1716	1837
483	1719	1832
484	1722	1828
485	1724	1824
486	1727	1819
487	1730	1815
488	1733	1811
489	1736	1807
490	1738	1802
491	1741	1798
492	1744	1794
493	1747	1789
494	1750	1785
495	1753	1781
496	1756	1777
497	1759	1773
498	1762	1769
499	1765	1765
500	1768	1761
501	1771	1757
502	1774	1753
503	1777	1748
504	1780	1744
505	1782	1740
506	1785	1736
507	1788	1732
508	1791	1728
509	1794	1723
510	1797	1719
511	1800	1715
512	1803	1711
513	1805	1707
514	1808	1703
515	1811	1699
516	1814	1694
517	1817	1690
518	1819	1686
519	1823	1682
520	1826	1678
521	1829	1674
522	1831	1670
523	1834	1666
524	1837	1662
525	1840	1658
526	1843	1654
527	1846	1650
528	1848	1646
529	1851	1642
530	1854	1638
531	1857	1634
532	1860	1630
533	1863	1626
534	1866	1622
535	1869	1618
536	1872	1614
537	1875	1610
538	1878	1607
539	1881	1602
540	1884	1598
541	1887	1594
542	1890	1590
543	1892	1586
544	1895	1582
545	1898	1578
546	1901	1574
547	1904	1570
548	1907	1566
549	1909	1562
550	1912	1558
551	1915	1555
552	1919	1551
553	1923	1548
554	1926	1544
555	1929	1540
556	1932	1536
557	1935	1533
558	1938	1529
559	1941	1525
560	1943	1521
561	1946	1517
562	1949	1513
563	1952	1509
564	1955	1505
565	1958	1501
566	1961	1498
567	1964	1494
568	1967	1490
569	1970	1486
570	1973	1482
571	1976	1478
572	1979	1474
573	1981	1470
574	1984	1467
575	1987	1463
576	1990	1459
577	1993	1455
578	1996	1451
579	1999	1447
580	2002	1444
581	2005	1440
582	2008	1436
583	2011	1433
584	2014	1429
585	2017	1425
586	2020	1421
587	2023	1417
588	2026	1414
