iter	Logloss
0	0.6870569284
1	0.6820318604
2	0.6778026908
3	0.6742982701
4	0.669876055
5	0.6663361904
6	0.6618075126
7	0.6569145857
8	0.6510274833
9	0.6464910889
10	0.6415053013
11	0.6368961007
12	0.632394104
13	0.627442191
14	0.6238483102
15	0.6200493513
16	0.6165719169
17	0.6129356602
18	0.609467817
19	0.6052216448
20	0.6012187413
21	0.5975713239
22	0.5941012573
23	0.59015128
24	0.5869561768
25	0.5831365095
26	0.5790839931
27	0.5759014893
28	0.5729356166
29	0.569413365
30	0.5654091099
31	0.5616050502
32	0.5588765608
33	0.5558553205
34	0.5522272164
35	0.5494009399
36	0.5457472447
37	0.5422741263
38	0.5390422712
39	0.5358231899
40	0.532663487
41	0.5289203317
42	0.5253627232
43	0.5232867868
44	0.5209725516
45	0.517577689
46	0.5151433454
47	0.5124870518
48	0.5098813302
49	0.5067781285
50	0.5046592494
51	0.5018598284
52	0.4996225412
53	0.4970898002
54	0.494787772
55	0.4920145961
56	0.4894917079
57	0.4867901611
58	0.4835972377
59	0.4808371408
60	0.4788113839
61	0.4760006714
62	0.4737439837
63	0.4716106306
64	0.4693346732
65	0.4669189889
66	0.4643206787
67	0.4622771781
68	0.4604544503
69	0.4581054688
70	0.4560257394
71	0.4542606899
72	0.4523880441
73	0.4499972098
74	0.447562561
75	0.4457305036
76	0.4432436698
77	0.4417893764
78	0.4398572213
79	0.437403608
80	0.4354592024
81	0.432915911
82	0.4309664481
83	0.4288923863
84	0.4274818202
85	0.425846514
86	0.4234218052
87	0.4219561768
88	0.419929766
89	0.4178484671
90	0.4157492937
91	0.4134692383
92	0.4116282
93	0.4094457572
94	0.4079513986
95	0.4058752877
96	0.4046447318
97	0.4035334996
98	0.4018174526
99	0.4005644008
100	0.3988024902
101	0.3972420829
102	0.3959574672
103	0.3945286342
104	0.3927601842
105	0.3914115688
106	0.3900485665
107	0.38847726
108	0.3870508684
109	0.3854222761
110	0.3844215611
111	0.3827243914
112	0.3815038191
113	0.3802503749
114	0.3788826207
115	0.3773090472
116	0.3756541225
117	0.3745435878
118	0.372560948
119	0.3713954817
120	0.369783238
121	0.3683843122
122	0.366857823
123	0.3655069624
124	0.3639367022
125	0.3623936244
126	0.3609703718
127	0.3598210362
128	0.3583960615
129	0.3570730591
130	0.3562081909
131	0.3546102033
132	0.353354732
133	0.3525868443
134	0.3512448992
135	0.3498749869
136	0.3486259242
137	0.3472579956
138	0.3460163879
139	0.3452513341
140	0.3439591762
141	0.3428192139
142	0.3416421073
143	0.3403654916
144	0.3388936942
145	0.3378666469
146	0.3366952079
147	0.335660117
148	0.3341352844
149	0.3330329677
150	0.3318586949
151	0.3307723781
152	0.3294966343
153	0.3284171404
154	0.3268601772
155	0.3258342198
156	0.3248804801
157	0.3234832546
158	0.3224918474
159	0.3207324001
160	0.3196244812
161	0.3187372044
162	0.3176255144
163	0.3165190996
